rep,index,scene,n_c,solver,iterations,converged,residual,seconds,normal_gap_m,outside_coulomb_fraction,tangential_relative_deviation_from_exact,solution_sha256
2,13,heavy_top_column_tangential_drive,3,admm,3282,True,9.958966984413564e-11,0.3562428680015728,0.0,0.0,0.0,203e648bb371801bb42c0ec787a0b15da06d85dd5a2eb5fdbedfb474b2f50170
2,14,stacked_mass_pairs_cone,8,apgd,5000,False,0.4616320988704956,0.4401138030225411,0.0008334576305060598,0.0,472.67054748343634,4417b126138ce35fa7c317d518c62c30e065f20ad1bcba1855e8582438900a97
2,14,stacked_mass_pairs_cone,8,pgs,5000,False,0.04037576716245894,3.265093587921001,0.0008314102310960215,0.0,316.7726427843423,3bc8f7cf0875e434638bb9a284c9feae35361aa9c8988e631c4e4d4da84b624b
2,14,stacked_mass_pairs_cone,8,admm,4813,True,9.965783753784763e-11,0.5332578769885004,0.0,0.0,0.0,e1cfa38df2338b0f82fbd63568e02e94d1291cebc0b7e8a58f1bc9211741d780
2,15,quadruped_sticking_stance,4,apgd,468,True,9.738644612955483e-11,0.03164571803063154,2.2666450892142957e-12,0.0,2.8209265500535595e-07,a1c7391731940e13f306d81a4d75f59146b53c4563a8d2a527a4e9c1c486214f
2,15,quadruped_sticking_stance,4,pgs,2490,True,9.983275317537732e-11,0.8280885179992765,2.2811823321515026e-12,0.0,3.7149571209693103e-07,e95b2a38d00a3285747519cbb63172f6c060c0779270c9a0f6ed945b2f938669
2,15,quadruped_sticking_stance,4,admm,2,True,2.0595525285216354e-11,0.0010224689031019807,0.0,0.0,0.0,2b692ba16181dc5e393ab9a4bf1df70c205cc98e91a8ee938e92daac4a20f4a3
2,16,quadruped_sliding_stance,4,apgd,817,True,2.7827462556473392e-11,0.07044117199257016,5.286511294966643e-06,0.0,0.5613695100553161,6aa821c9b248211d9e259968cd4ff8a8420a874e420f07761b80b781a7b5f473
2,16,quadruped_sliding_stance,4,pgs,1341,True,9.98430227383551e-11,0.4700255040079355,5.2865073716817115e-06,0.0,0.5613695359212845,7672924836974ebf54dc44c1b9fd264c0a4489e0647b96f05f85a7d209b21444
2,16,quadruped_sliding_stance,4,admm,807,True,8.900271708869867e-11,0.08828790998086333,2.582387891488421e-12,0.0,0.0,41dfd6e37e37cbb351fa5735a7c50d30d8dad6c4a4ba3d9533e40ec992eca836
2,17,humanoid,2,apgd,229,True,6.667943974747459e-11,0.014768423978239298,0.0,0.0,5.721970484657538e-10,eb4091d3ea77285ef77a89a1aa8a042111ffbcea4f2fc43435ff5be87fbe4687
2,17,humanoid,2,pgs,198,True,9.809753009903943e-11,0.037650910089723766,0.0,0.0,4.496798769541997e-10,dfc32abc3774d1093f4af108b79d489f64d4998ba59d21d233070c1af95ddbaa
2,17,humanoid,2,admm,3,True,6.56226184503339e-11,0.0010166260180994868,0.0,0.0,0.0,88cfef57113352112c0b4931449f2cb04bea22a964806f24ba0537e60bcd3a05
2,18,quadruped_unloading_probe,4,apgd,402,True,6.565957499926611e-11,0.03478718502447009,8.001231629061912e-05,0.0,0.4690058044879099,f319923498769833b4aa55f7ce0eb3c7509574fc04edbc56f1ca0239ed745d9a
2,18,quadruped_unloading_probe,4,pgs,418,True,9.71319136233717e-11,0.16129078797530383,8.001230961812639e-05,0.0,0.46900577975205215,6324155bf3407af420412970518976dc5a0bf93395e50023a4125b83a1041517
2,18,quadruped_unloading_probe,4,admm,92,True,2.4037744884852774e-11,0.01058375695720315,0.0,0.0,0.0,05dd2f1efd3837c7686ffb2f15a8f40d0512ac5e8c0f28c9b84daf1983dbcd6f
2,19,batched_quadruped_sticking,4,apgd,842,True,7.506481547459032e-11,0.07225209299940616,3.7333746906348038e-06,0.0,0.02208069475708012,7414e9a368b7bc6805404b223aad1ff7e53a2847181012240e267223daf14376
2,19,batched_quadruped_sticking,4,pgs,1310,True,9.851050530862437e-11,0.4565295249922201,3.733367730769076e-06,0.0,0.022080720849491853,39ad300346071719f9fe81d9f59579ec0e0cf2f936e4b27246cee3732ad52287
2,19,batched_quadruped_sticking,4,admm,278,True,9.28546154896348e-11,0.030644644051790237,2.2853891811410363e-13,0.0,0.0,8ea0c375b1ed25437655ae82de464ee99d90366b4e1be992992211b52f6e948d
2,20,batched_quadruped_sliding,4,apgd,818,True,3.6883551768340794e-12,0.07029661803971976,1.223284581378644e-05,0.0,0.41865862292776446,25a6ac026f5a7491efed39f684dcbc25f1cbc7bc628810258d5635cbef25fd9f
2,20,batched_quadruped_sliding,4,pgs,1146,True,9.879524975886511e-11,0.4028860389953479,1.2232840701168184e-05,0.0,0.41865866162081405,150f0ff41e270cb28b81b04b94a5d3307a875c3086733b0dddb975a4341e8813
2,20,batched_quadruped_sliding,4,admm,311,True,6.128820367878873e-11,0.03410872700624168,0.0,0.0,0.0,161cbfbcb98cebf108ad03c2412bbb86ea9fca0247128dc0310da3d6adc4bf14
