run,it,state,cost_sum,cost_p50,res_max,res_p95,grad_norm,H_sha256,digest,n_slip,res_pass,ms_forward,ms_adjoint,ms_total,chunk,n_calls,n_iter,cg,grad_cg,theta_sha256
series_std_int64_p1,2,prev_theta,217789.40796813037,1628.8767748215237,0.019828224636308067,0.00011930809757829138,9275.281305829914,f0db34d4d06e34425bc8114155f8b79b2aac537ff6eda9834de3963bd24618f7,bb51ab7c47e648b7467d7323ae0bb8f67f4d9ed556194cdd56d6c1f9a598a75a,-1,0,1120.8842429332435,1089.1333170002326,2246.214863960631,1024,7,300,4,60,cd132ff4292921d736bc3b31abace3b63757607079afe3cbd4add8473ddd10a2
series_std_int64_p1,2,accepted,214055.76447686527,1608.677865103679,0.02692868566719927,0.00012869167400367644,6112.531151750142,20a143879b87a3215a6c1bb7f36b599880be460bd7262356959af8d257156bdf,475b1179737b0cff54b01c90201118d5c9190e8534f6cc299028b7fc2b0a5794,-1,0,1124.3622639449313,1055.87891000323,2227.540601976216,1024,7,300,4,60,f8f01f808993cae8e88f928fd934147a31bfd95382d6d7d9119d1d783fca5bbf
series_std_int64_p1,3,prev_theta,214055.76447686527,1608.677865103679,0.02692868566719927,0.00012869167400367644,6112.531151750142,20a143879b87a3215a6c1bb7f36b599880be460bd7262356959af8d257156bdf,475b1179737b0cff54b01c90201118d5c9190e8534f6cc299028b7fc2b0a5794,-1,0,1110.7272639637813,1092.2386489110067,2250.353134004399,1024,7,300,4,60,f8f01f808993cae8e88f928fd934147a31bfd95382d6d7d9119d1d783fca5bbf
series_std_int64_p1,3,accepted,213249.97615533782,1607.940554649675,0.020014471769410007,7.726730906832471e-06,2151.786841119131,2405a69a462f8fed97f02ec282580bd28654304439d472ba5ff9b988b877e6e5,3ca5b7024171d62b8cb74702c4f0d68262fecf82706e84e58fb26da617c537ec,-1,0,1150.4008140182123,1076.1714869877324,2275.0650730449706,1024,7,300,4,60,4e746550280c46a29e2fe1f87b4cb166ced2924c2efa66d38f4a023e6ee72403
series_win7_int64_gate,0,initial,643440.6020936834,3760.1327209142946,6.677146272004997e-08,2.048933464421364e-08,14440.273390173574,87fde935794c6a2e6ab708b7bbabc172c2334956852058ed885b2fc33dbe6f7b,2b30e9e819525f9d7213e53098842e2b4f4d9fe64285657d7309ccf52f1a260a,-1,1,1617.0535560231656,1404.4066140195355,3075.822817045264,1024,6,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_win7_int64_gate,0,prev_theta,643440.6020936834,3760.1327209142946,6.677146272004997e-08,2.048933464421364e-08,14440.273390173574,87fde935794c6a2e6ab708b7bbabc172c2334956852058ed885b2fc33dbe6f7b,2b30e9e819525f9d7213e53098842e2b4f4d9fe64285657d7309ccf52f1a260a,-1,1,1119.3556979997084,1401.6739299986511,2572.7416130248457,1024,6,300,4,60,020bd156497d059e9ae53f0708d8e5877767869e618ec33a0173cb91f7319ce3
series_win7_int64_gate,0,accepted,340188.80010393995,1639.1084291300717,9.931127027809628e-06,1.7150894679719651e-06,4934.738563885308,13f52abebeda573d89ed477bb3455e8f976ff9d2d5fa337ad226513fa1aa0520,4c8c939a2f7f06e05c1c66738483d5203016aadd1b197c82cbbb169e27466172,-1,1,1136.0637840116397,1404.8981710802764,2587.2593520907685,1024,6,300,4,60,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,1,prev_theta,340188.80010393995,1639.1084291300717,9.931127027809628e-06,1.7150894679719651e-06,4934.738563885308,13f52abebeda573d89ed477bb3455e8f976ff9d2d5fa337ad226513fa1aa0520,4c8c939a2f7f06e05c1c66738483d5203016aadd1b197c82cbbb169e27466172,-1,1,1127.4844439467415,1419.614069047384,2583.9890768984333,1024,6,300,4,60,130a84e7e916e2b42538a38f78473b885c4e0dd76c40ee79d712d7a24824b42e
series_win7_int64_gate,1,accepted,206020.09890610143,1608.3294385227146,9.931127027809628e-06,5.457520514593602e-06,302.0578994981507,f890d21bab289e1da64a4b134648e06dec944a43219c423b0d6c7bfafc274865,99086c1eb6908d6f2df746d534392eed08581624a6f01ccd01dda1d1287af368,-1,1,1103.7676089908928,1389.790409943089,2533.8778959121555,1024,6,300,4,60,575f74c73f3786fd67e2bc73cd3dc35b11220c61de2a5eeb2f53b2067b924300
series_win7_int64_gate,2,prev_theta,206020.09890610143,1608.3294385227146,9.931127027809628e-06,5.457520514593602e-06,302.0578994981507,f890d21bab289e1da64a4b134648e06dec944a43219c423b0d6c7bfafc274865,99086c1eb6908d6f2df746d534392eed08581624a6f01ccd01dda1d1287af368,-1,1,1129.009497934021,1388.0540420068428,2553.5118160769343,1024,6,300,4,60,575f74c73f3786fd67e2bc73cd3dc35b11220c61de2a5eeb2f53b2067b924300
