x_m,y_m,static_radius_m_s2,status
-0.14,0.1,0.2680629142971361,feasible
-0.12,0.1,0.3272212835563248,feasible
-0.1,0.1,0.4032321463458203,feasible
-0.08,0.1,0.49494237096855354,feasible
-0.06,0.1,0.4949423709685534,feasible
-0.04,0.1,0.4949423709685528,feasible
-0.02,0.1,0.4949423709685564,feasible
0.0,0.1,0.49494237096855254,feasible
0.02,0.1,0.4949423709685533,feasible
0.04,0.1,0.4949423709685529,feasible
0.06,0.1,0.49494237096855365,feasible
0.08,0.1,0.49494237096855354,feasible
0.1,0.1,0.4662039290680318,feasible
0.12,0.1,0.38234193370321756,feasible
0.14,0.1,0.3170731193977756,feasible
0.16,0.1,0.26483106875839085,feasible
0.18,0.1,0.22206970948426583,feasible
0.2,0.1,0.18642295534794073,feasible
-0.2,0.12,0.060195632904402656,feasible
-0.18,0.12,0.08632356798933062,feasible
-0.16,0.12,0.11732452896383759,feasible
-0.14,0.12,0.1556687522010284,feasible
-0.12,0.12,0.20431588769788336,feasible
-0.1,0.12,0.2680629142971349,feasible
-0.08,0.12,0.3024520488748859,feasible
-0.06,0.12,0.30245204887488547,feasible
-0.04,0.12,0.3024520488748848,feasible
-0.02,0.12,0.3024520488748849,feasible
0.0,0.12,0.3024520488748796,feasible
0.02,0.12,0.3024520488748844,feasible
0.04,0.12,0.3024520488748851,feasible
0.06,0.12,0.3024520488748855,feasible
0.08,0.12,0.30245204887488536,feasible
0.1,0.12,0.30245204887488575,feasible
0.12,0.12,0.24674168711299982,feasible
0.14,0.12,0.1930698078337579,feasible
0.16,0.12,0.15076502463073177,feasible
0.18,0.12,0.11656198640514613,feasible
0.2,0.12,0.08754394987290472,feasible
-0.2,0.14,0.0,no_static_double_support
-0.18,0.14,0.0,no_static_double_support
-0.16,0.14,0.00045328558848183704,feasible
-0.14,0.14,0.026057148723876652,feasible
-0.12,0.14,0.06019563290440396,feasible
-0.1,0.14,0.10628623098882795,feasible
-0.08,0.14,0.10996172678121695,feasible
-0.06,0.14,0.10996172678121705,feasible
-0.04,0.14,0.10996172678121695,feasible
-0.02,0.14,0.10996172678121703,feasible
0.0,0.14,0.10996172678121706,feasible
0.02,0.14,0.10996172678121643,feasible
0.04,0.14,0.10996172678121693,feasible
0.06,0.14,0.10996172678121727,feasible
0.08,0.14,0.10996172678121739,feasible
0.1,0.14,0.10996172678121775,feasible
0.12,0.14,0.08754394987290509,feasible
0.14,0.14,0.04949856326830661,feasible
0.16,0.14,0.020964523314857864,feasible
0.18,0.14,0.0,no_static_double_support
0.2,0.14,0.0,no_static_double_support
-0.2,0.16,0.0,no_static_double_support
-0.18,0.16,0.0,no_static_double_support
